prod_id,comp_id,rqvae_id,x_曝光配额,y_冷启成功,sim_time_to_first_ab,priority_score,ipv_roi_自然,proxy_ctr,proxy_cvr_pay,is_broken_zero,base_time_to_first_ab,imps_needed_to_break_xiuzheng,real_imps,prod_name
PROD_000057,COMP_0022,RQ_002,0.0,1,111.9,114.23,10.31,0.0583,0.0077,1,111.9,238.0,4420,商品_57_7524
PROD_000058,COMP_0034,RQ_015,5000.0,1,48.67,270.03,26.04,0.0455,0.0036,1,48.67,60.0,3667,商品_58_9937
PROD_000059,COMP_0018,RQ_010,0.0,1,97.07,54.74,5.42,0.0244,0.0045,1,97.07,201.0,2749,商品_59_8179
PROD_000060,COMP_0002,RQ_004,0.0,0,172.32,202.02,18.35,0.0194,0.0039,0,172.32,0.0,271,商品_60_4515
PROD_000061,COMP_0039,RQ_009,0.0,1,179.59,99.42,5.59,0.1072,0.0014,1,179.59,337.0,3346,商品_61_3275
PROD_000062,COMP_0015,RQ_015,0.0,1,76.39,177.81,18.55,0.0137,0.0081,1,76.39,76.0,3854,商品_62_3114
PROD_000063,COMP_0027,RQ_016,0.0,0,81.9,109.72,10.02,0.1375,0.0016,0,81.9,234.0,128,商品_63_6531
PROD_000064,COMP_0036,RQ_001,0.0,1,92.49,210.55,19.71,0.1255,0.0065,1,92.49,296.0,2974,商品_64_6231
PROD_000065,COMP_0022,RQ_012,0.0,1,44.52,90.02,8.39,0.0283,0.0033,1,44.52,167.0,2533,商品_65_1379
PROD_000066,COMP_0005,RQ_012,0.0,0,128.14,193.2,15.1,0.0808,0.0036,0,128.14,156.0,220,商品_66_5582
PROD_000067,COMP_0039,RQ_019,5000.0,1,1.0,309.68,28.2,0.0266,0.008,0,59.86,89.0,19,商品_67_6511
PROD_000068,COMP_0032,RQ_016,0.0,0,117.56,248.68,20.38,0.0845,0.0082,0,117.56,462.0,305,商品_68_3421
PROD_000069,COMP_0015,RQ_001,0.0,0,105.27,154.23,12.68,0.0902,0.0045,0,105.27,109.0,361,商品_69_5331
PROD_000070,COMP_0039,RQ_015,0.0,1,61.09,91.11,9.28,0.0369,0.0023,1,61.09,139.0,2740,商品_70_6674
PROD_000071,COMP_0028,RQ_008,0.0,0,141.13,96.69,8.51,0.1146,0.0028,0,141.13,108.0,326,商品_71_8822
PROD_000072,COMP_0012,RQ_009,0.0,0,170.5,-22.17,16.29,0.055,0.001,0,170.5,549.0,478,商品_72_5662
PROD_000073,COMP_0029,RQ_017,5000.0,1,1.0,268.49,24.36,0.0834,0.0051,0,139.67,218.0,377,商品_73_4027
PROD_000074,COMP_0008,RQ_015,5000.0,1,1.0,285.04,28.64,0.0553,0.0024,0,138.43,209.0,31,商品_74_4618
PROD_000075,COMP_0014,RQ_004,5000.0,1,1.0,308.49,27.43,0.0769,0.0038,0,150.3,289.0,269,商品_75_8239
PROD_000076,COMP_0007,RQ_006,0.0,1,114.59,70.84,4.39,0.1104,0.0045,1,114.59,384.0,678,商品_76_1519
PROD_000077,COMP_0018,RQ_013,0.0,0,97.28,123.94,11.55,0.0352,0.0073,0,97.28,233.0,349,商品_77_5888
PROD_000078,COMP_0029,RQ_017,0.0,0,144.82,75.85,6.06,0.0694,0.0047,0,144.82,88.0,123,商品_78_3295
PROD_000079,COMP_0032,RQ_009,0.0,1,161.44,250.66,24.64,0.0428,0.0058,1,161.44,370.0,2961,商品_79_9592
PROD_000080,COMP_0020,RQ_013,0.0,1,51.65,81.98,7.15,0.0672,0.0054,1,51.65,41.0,3912,商品_80_7179
PROD_000081,COMP_0038,RQ_019,0.0,0,166.05,64.73,6.9,0.0155,0.0059,0,166.05,515.0,479,商品_81_7236
PROD_000082,COMP_0029,RQ_017,5000.0,1,144.24,266.56,24.18,0.1008,0.0088,1,144.24,505.0,3890,商品_82_5026
PROD_000083,COMP_0031,RQ_017,0.0,1,55.24,237.3,19.43,0.1016,0.0082,1,55.24,127.0,2007,商品_83_4791
PROD_000084,COMP_0004,RQ_004,0.0,0,103.18,193.51,18.69,0.0113,0.0062,0,103.18,181.0,8,商品_84_4948
PROD_000085,COMP_0012,RQ_019,0.0,0,178.53,160.92,12.48,0.0837,0.004,0,178.53,311.0,334,商品_85_6427
PROD_000086,COMP_0036,RQ_003,0.0,0,168.62,227.09,17.22,0.1353,0.009,0,168.62,318.0,91,商品_86_9856
PROD_000087,COMP_0021,RQ_012,5000.0,1,95.56,277.25,29.24,0.1158,0.0073,1,95.56,168.0,3173,商品_87_5839
PROD_000088,COMP_0015,RQ_002,0.0,1,30.78,88.66,9.84,0.0215,0.0064,1,30.78,32.0,1337,商品_88_1202
PROD_000089,COMP_0018,RQ_013,0.0,1,87.11,167.43,17.37,0.0643,0.0091,1,87.11,151.0,1695,商品_89_3219
PROD_000090,COMP_0019,RQ_000,0.0,1,158.93,136.04,10.37,0.1428,0.0081,1,158.93,161.0,2145,商品_90_6980
PROD_000091,COMP_0007,RQ_018,0.0,0,61.45,253.51,21.95,0.038,0.0077,0,61.45,193.0,419,商品_91_8851
PROD_000092,COMP_0037,RQ_012,5000.0,1,1.0,339.06,29.07,0.0848,0.0042,0,151.84,300.0,393,商品_92_1172
PROD_000093,COMP_0006,RQ_008,0.0,0,131.93,127.78,11.54,0.0411,0.0069,0,131.93,299.0,247,商品_93_2599
PROD_000094,COMP_0028,RQ_014,0.0,0,54.65,212.29,19.62,0.0546,0.0012,0,54.65,151.0,282,商品_94_8365
PROD_000095,COMP_0037,RQ_013,0.0,1,160.8,45.76,2.35,0.0644,0.0075,1,160.8,499.0,1433,商品_95_5873
PROD_000096,COMP_0039,RQ_018,0.0,0,92.74,209.7,20.96,0.0219,0.0031,0,92.74,259.0,249,商品_96_1157
PROD_000097,COMP_0031,RQ_004,0.0,0,96.58,163.63,15.01,0.0373,0.0066,0,96.58,102.0,149,商品_97_7010
PROD_000098,COMP_0034,RQ_001,0.0,0,161.22,217.69,19.78,0.1164,0.0043,0,161.22,173.0,224,商品_98_4390
PROD_000099,COMP_0003,RQ_018,0.0,0,158.7,93.16,9.04,0.0591,0.0033,0,158.7,564.0,69,商品_99_7434
PROD_000100,COMP_0031,RQ_004,0.0,1,107.34,258.32,26.46,0.0908,0.0046,1,107.34,113.0,4224,商品_100_7516
PROD_000101,COMP_0013,RQ_013,0.0,0,148.25,78.1,4.35,0.1255,0.0029,0,148.25,311.0,50,商品_101_5945
PROD_000102,COMP_0010,RQ_008,0.0,0,0.0,23.81,2.03,0.0231,0.0067,0,0.0,122.0,360,商品_102_3165
PROD_000103,COMP_0030,RQ_002,0.0,0,152.01,92.37,9.33,0.0421,0.0011,0,152.01,99.0,35,商品_103_2646
PROD_000104,COMP_0008,RQ_003,0.0,0,113.01,98.01,8.67,0.0925,0.0032,0,113.01,285.0,434,商品_104_2847
PROD_000105,COMP_0015,RQ_015,0.0,0,155.85,104.91,9.84,0.0993,0.0002,0,155.85,0.0,390,商品_105_7806
PROD_000106,COMP_0027,RQ_012,0.0,0,151.21,153.11,15.58,0.0215,0.0028,0,151.21,488.0,158,商品_106_2956
PROD_000107,COMP_0000,RQ_004,0.0,0,49.04,213.9,21.76,0.1082,0.0053,0,49.04,71.0,394,商品_107_3734
PROD_000108,COMP_0023,RQ_005,0.0,1,159.44,140.93,15.51,0.0457,0.0073,1,159.44,381.0,1729,商品_108_7108
PROD_000109,COMP_0007,RQ_016,0.0,0,159.9,140.39,12.33,0.1043,0.0052,0,159.9,227.0,283,商品_109_5016
PROD_000110,COMP_0009,RQ_000,0.0,1,143.84,6.27,0.78,0.1405,0.0064,1,143.84,464.0,1351,商品_110_7102
PROD_000111,COMP_0029,RQ_002,0.0,1,49.61,45.27,2.34,0.0913,0.004,1,49.61,49.0,3172,商品_111_6870
PROD_000112,COMP_0013,RQ_014,5000.0,1,1.0,265.65,24.88,0.0532,0.0017,0,36.05,57.0,364,商品_112_2551
PROD_000113,COMP_0029,RQ_003,0.0,1,85.84,56.11,4.36,0.1225,0.0083,1,85.84,80.0,1114,商品_113_8096
PROD_000114,COMP_0025,RQ_015,0.0,1,35.2,98.81,8.76,0.0141,0.0022,1,35.2,55.0,4586,商品_114_7266
PROD_000115,COMP_0022,RQ_015,0.0,0,62.85,73.91,5.8,0.0862,0.0051,0,62.85,152.0,414,商品_115_4594
PROD_000116,COMP_0036,RQ_012,5000.0,1,1.0,274.03,24.28,0.0597,0.0018,0,167.1,592.0,288,商品_116_1011
PROD_000117,COMP_0021,RQ_019,0.0,1,117.99,98.6,10.05,0.0382,0.0092,1,117.99,361.0,1094,商品_117_6198
PROD_000118,COMP_0011,RQ_017,0.0,1,133.27,104.39,5.67,0.1071,0.0023,1,133.27,234.0,765,商品_118_3750
PROD_000119,COMP_0005,RQ_010,0.0,1,87.89,39.62,3.69,0.0725,0.0008,1,87.89,128.0,4539,商品_119_5831
PROD_000120,COMP_0001,RQ_010,0.0,1,176.71,31.05,2.71,0.0466,0.0089,1,176.71,461.0,753,商品_120_5346
PROD_000121,COMP_0018,RQ_009,0.0,0,74.18,110.96,11.14,0.0433,0.0,0,74.18,68.0,49,商品_121_7349
PROD_000122,COMP_0011,RQ_011,0.0,0,39.25,92.82,7.17,0.134,0.0027,0,39.25,106.0,342,商品_122_4860
PROD_000123,COMP_0030,RQ_009,5000.0,1,1.0,265.74,24.11,0.0211,0.0051,0,123.04,491.0,485,商品_123_6238
PROD_000124,COMP_0004,RQ_002,5000.0,1,123.46,288.62,26.27,0.0643,0.0028,1,123.46,323.0,1725,商品_124_5327
PROD_000125,COMP_0024,RQ_015,0.0,0,89.37,228.22,20.58,0.0901,0.0041,0,89.37,110.0,381,商品_125_3201
PROD_000126,COMP_0019,RQ_014,0.0,1,91.08,158.31,13.53,0.1184,0.0061,1,91.08,82.0,960,商品_126_5087
PROD_000127,COMP_0002,RQ_014,0.0,1,132.18,131.46,12.21,0.0171,0.0037,1,132.18,263.0,1954,商品_127_4511
PROD_000128,COMP_0014,RQ_007,0.0,0,166.73,223.75,23.14,0.1049,0.0003,0,166.73,423.0,114,商品_128_9530
PROD_000129,COMP_0039,RQ_012,0.0,1,72.4,177.91,17.06,0.0918,0.0097,1,72.4,188.0,2764,商品_129_7620
PROD_000130,COMP_0020,RQ_004,0.0,0,136.21,147.71,11.95,0.111,0.0027,0,136.21,480.0,351,商品_130_5237
PROD_000131,COMP_0035,RQ_005,5000.0,1,163.03,318.77,26.21,0.1426,0.0023,1,163.03,524.0,1464,商品_131_3470
PROD_000132,COMP_0008,RQ_006,5000.0,1,42.12,263.24,25.94,0.058,0.0099,1,42.12,65.0,975,商品_132_8029
PROD_000133,COMP_0030,RQ_012,0.0,0,32.69,237.55,22.83,0.0107,0.0095,0,32.69,35.0,355,商品_133_6535
PROD_000134,COMP_0027,RQ_004,5000.0,1,1.0,302.75,27.59,0.058,0.002,0,64.26,66.0,301,商品_134_1323
PROD_000135,COMP_0003,RQ_003,0.0,1,75.17,228.22,21.01,0.0683,0.0048,1,75.17,238.0,1623,商品_135_6864
PROD_000136,COMP_0026,RQ_009,0.0,1,43.35,80.77,7.42,0.0325,0.0069,1,43.35,90.0,1721,商品_136_1646
PROD_000137,COMP_0018,RQ_011,0.0,1,129.5,40.63,1.85,0.1222,0.001,1,129.5,128.0,2697,商品_137_3732
PROD_000138,COMP_0007,RQ_004,0.0,1,131.76,193.56,17.93,0.1075,0.0017,1,131.76,464.0,736,商品_138_9598
PROD_000139,COMP_0036,RQ_018,0.0,1,139.0,209.7,18.74,0.0414,0.0052,1,139.0,392.0,1717,商品_139_6253
PROD_000140,COMP_0015,RQ_010,0.0,1,0,74.51,7.43,0.1458,0.0065,1,0.0,328.0,3089,商品_140_9328
PROD_000141,COMP_0035,RQ_006,5000.0,1,145.11,272.6,25.41,0.1016,0.0083,1,145.11,332.0,4207,商品_141_9067
PROD_000142,COMP_0008,RQ_013,0.0,0,137.52,155.63,13.98,0.025,0.0093,0,137.52,274.0,0,商品_142_3903
PROD_000143,COMP_0037,RQ_005,0.0,1,176.93,157.64,15.37,0.1123,0.006,1,176.93,577.0,3759,商品_143_4560
PROD_000144,COMP_0012,RQ_006,0.0,0,105.58,230.31,19.68,0.0974,0.0068,0,105.58,214.0,389,商品_144_2744
PROD_000145,COMP_0001,RQ_012,0.0,0,155.91,91.33,8.96,0.0303,0.0075,0,155.91,164.0,183,商品_145_1769
PROD_000146,COMP_0024,RQ_012,0.0,0,160.33,230.25,22.44,0.0683,0.0097,0,160.33,384.0,466,商品_146_4063
PROD_000147,COMP_0011,RQ_016,0.0,1,99.95,232.17,25.46,0.0267,0.0027,1,99.95,286.0,916,商品_147_2117
PROD_000148,COMP_0032,RQ_005,0.0,0,62.77,114.69,10.29,0.0682,0.0023,0,62.77,144.0,58,商品_148_5203
PROD_000149,COMP_0034,RQ_009,0.0,0,127.73,148.02,14.86,0.0135,0.0052,0,127.73,363.0,85,商品_149_8130
PROD_000150,COMP_0004,RQ_004,0.0,1,153.24,77.54,7.93,0.0133,0.0008,1,153.24,105.0,3813,商品_150_2738
PROD_000151,COMP_0018,RQ_009,0.0,1,0,32.7,1.41,0.0949,0.0039,1,0.0,252.0,1680,商品_151_7456
PROD_000152,COMP_0034,RQ_017,0.0,1,106.88,153.1,12.67,0.1426,0.009,1,106.88,277.0,2091,商品_152_2608
PROD_000153,COMP_0012,RQ_018,0.0,1,77.67,216.5,18.78,0.0782,0.0066,1,77.67,0.0,1748,商品_153_6432
PROD_000154,COMP_0030,RQ_014,0.0,0,153.97,61.84,2.92,0.0724,0.0012,0,153.97,97.0,372,商品_154_8734
PROD_000155,COMP_0009,RQ_011,0.0,0,84.58,164.9,15.28,0.0649,0.0086,0,84.58,125.0,387,商品_155_4796
PROD_000156,COMP_0004,RQ_008,0.0,1,36.97,141.62,14.36,0.0617,0.0091,1,36.97,75.0,2657,商品_156_6781
PROD_000157,COMP_0022,RQ_015,0.0,0,72.12,128.88,7.28,0.121,0.0088,0,72.12,237.0,338,商品_157_3639
PROD_000158,COMP_0008,RQ_016,5000.0,1,114.54,298.15,28.77,0.0155,0.0027,1,114.54,259.0,1202,商品_158_5333
PROD_000159,COMP_0010,RQ_010,0.0,0,166.4,42.03,0.99,0.1391,0.0038,0,166.4,279.0,90,商品_159_8069
PROD_000160,COMP_0033,RQ_013,0.0,0,118.36,231.24,23.79,0.0619,0.0024,0,118.36,192.0,217,商品_160_9561
PROD_000161,COMP_0007,RQ_016,0.0,1,68.04,55.48,5.07,0.011,0.0032,1,68.04,95.0,2757,商品_161_3262
PROD_000162,COMP_0007,RQ_007,0.0,0,134.56,125.85,10.48,0.0725,0.0022,0,134.56,167.0,411,商品_162_9536
PROD_000163,COMP_0018,RQ_019,5000.0,1,1.0,282.06,25.59,0.018,0.005,0,107.72,60.0,314,商品_163_1251
PROD_000164,COMP_0004,RQ_002,5000.0,1,1.0,259.64,24.56,0.0869,0.0059,0,174.46,366.0,133,商品_164_8254
PROD_000165,COMP_0024,RQ_018,5000.0,1,1.0,297.62,26.95,0.0777,0.0078,0,102.3,277.0,346,商品_165_2245
PROD_000166,COMP_0035,RQ_005,0.0,1,104.85,244.5,0.0,0.0767,0.0028,1,104.85,375.0,2193,商品_166_1692
PROD_000167,COMP_0030,RQ_011,0.0,0,167.4,191.78,14.98,0.0969,0.009,0,167.4,379.0,27,商品_167_1137
PROD_000168,COMP_0000,RQ_006,0.0,1,173.78,83.82,8.25,0.0631,0.0086,1,173.78,435.0,2224,商品_168_8081
PROD_000169,COMP_0024,RQ_006,0.0,1,157.41,183.59,15.24,0.0304,0.0081,1,157.41,346.0,2957,商品_169_6914
PROD_000170,COMP_0023,RQ_017,0.0,1,116.53,248.05,20.55,0.088,0.0042,1,116.53,276.0,3409,商品_170_7911
PROD_000171,COMP_0039,RQ_018,0.0,1,120.81,235.93,19.76,0.0667,0.0035,1,120.81,171.0,4767,商品_171_2565
PROD_000172,COMP_0004,RQ_015,0.0,0,128.22,76.62,8.24,0.0868,0.0077,0,128.22,0.0,377,商品_172_5463
PROD_000173,COMP_0035,RQ_014,0.0,1,0,259.54,22.59,0.0289,0.0059,1,0.0,265.0,4445,商品_173_9767
PROD_000174,COMP_0000,RQ_015,0.0,1,86.05,100.56,7.32,0.1426,0.0044,1,86.05,215.0,2547,商品_174_5454
PROD_000175,COMP_0018,RQ_017,0.0,0,70.82,218.65,19.29,0.1232,0.0019,0,70.82,120.0,77,商品_175_7885
PROD_000176,COMP_0019,RQ_015,5000.0,1,1.0,300.08,28.57,0.1497,0.0034,0,146.35,513.0,458,商品_176_2539
PROD_000177,COMP_0033,RQ_006,0.0,0,108.14,44.23,1.74,0.0762,0.0033,0,108.14,273.0,184,商品_177_1688
PROD_000178,COMP_0037,RQ_015,0.0,1,175.45,212.91,20.74,0.1064,0.0026,1,175.45,385.0,1760,商品_178_7189
PROD_000179,COMP_0022,RQ_004,0.0,0,111.54,155.27,14.96,0.0451,0.0056,0,111.54,248.0,35,商品_179_4912
PROD_000180,COMP_0020,RQ_002,0.0,0,78.39,202.84,16.77,0.1022,0.0053,0,78.39,90.0,22,商品_180_5193
PROD_000181,COMP_0003,RQ_011,5000.0,1,100.21,310.29,27.89,0.0409,0.0092,1,100.21,78.0,3523,商品_181_9710
PROD_000182,COMP_0024,RQ_006,0.0,1,144.94,189.19,16.97,0.037,0.0095,1,144.94,148.0,1352,商品_182_7090
PROD_000183,COMP_0026,RQ_013,0.0,0,84.0,192.71,16.73,0.1257,0.0055,0,84.0,81.0,0,商品_183_5521
PROD_000184,COMP_0035,RQ_016,0.0,0,117.32,84.93,4.58,0.0879,0.0005,0,117.32,429.0,292,商品_184_5921
PROD_000185,COMP_0002,RQ_018,0.0,0,48.08,170.44,13.31,0.0634,0.0034,0,48.08,70.0,324,商品_185_8300
PROD_000186,COMP_0038,RQ_018,0.0,1,37.4,38.23,2.94,0.0807,0.004,1,37.4,59.0,1568,商品_186_6298
PROD_000187,COMP_0036,RQ_002,0.0,1,55.39,216.55,19.83,0.0258,0.002,1,55.39,149.0,1694,商品_187_5713
PROD_000188,COMP_0000,RQ_010,0.0,0,108.49,163.04,16.37,0.1071,0.0003,0,108.49,71.0,355,商品_188_1136
PROD_000189,COMP_0004,RQ_012,0.0,0,87.98,122.47,9.13,0.1025,0.0037,0,87.98,274.0,462,商品_189_9027
PROD_000190,COMP_0025,RQ_005,5000.0,1,1.0,290.32,29.37,0.0126,0.0031,0,39.3,42.0,483,商品_190_7837
PROD_000191,COMP_0015,RQ_018,0.0,1,111.2,72.4,6.6,0.0314,0.0034,1,111.2,251.0,4791,商品_191_6203
PROD_000192,COMP_0009,RQ_000,5000.0,1,1.0,354.98,28.05,0.1172,0.0042,0,169.99,502.0,67,商品_192_3196
PROD_000193,COMP_0032,RQ_019,0.0,1,91.29,74.84,5.33,0.0756,0.0039,1,91.29,360.0,2323,商品_193_8005
PROD_000194,COMP_0025,RQ_001,0.0,0,126.21,220.16,17.37,0.0951,0.004,0,126.21,480.0,231,商品_194_5770
PROD_000195,COMP_0028,RQ_012,5000.0,1,1.0,329.62,27.61,0.1338,0.0017,0,165.55,189.0,369,商品_195_8449
PROD_000196,COMP_0005,RQ_008,0.0,0,125.11,49.51,3.19,0.0554,0.0017,0,125.11,69.0,193,商品_196_6071
PROD_000197,COMP_0028,RQ_009,0.0,1,158.31,83.75,7.97,0.0977,0.0021,1,158.31,379.0,0,商品_197_1801
PROD_000198,COMP_0011,RQ_004,0.0,0,43.16,178.71,18.3,0.0177,0.0004,0,43.16,118.0,344,商品_198_7038
PROD_000199,COMP_0024,RQ_002,5000.0,1,1.0,293.49,25.85,0.1162,0.0048,0,92.06,317.0,55,商品_199_9608
