daily_incremental_imps_pool,rqvae_id,proxy_ctr,proxy_cvr_ab,proxy_cvr_abpro,proxy_cvr_pay,proxy_p_ab,normalized_proxy_p_ab,avg_time_to_first_ab,median_time_to_first_ab,prod_id,comp_id,ipv_roi_自然,normalized_ipv_roi_自然,crt_time,prod_name,real_imps,real_ab,base_time_to_first_ab,is_broken_zero,imps_needed_to_break,imps_needed_to_break_xiuzheng,normalized_imps_needed_to_break,priority_score,rn
91905,RQ_014,0.1356,0.0374,0.0145,0.0027,0.507144,0.45587,134.02,93.56,PROD_000018,COMP_0035,19.31,20.34,2026-04-28 20:07:54,商品_18_8633,365,12,108.19,0,127,130,128.02,251.05,19
91905,RQ_001,0.039,0.0216,0.0272,0.0059,0.08424,0.090828,70.01,79.32,PROD_000019,COMP_0026,25.77,27.14,2026-03-11 20:07:54,商品_19_8657,3932,111,87.06,1,203,276,219.15,279.37,20
91905,RQ_019,0.0848,0.0454,0.018,0.0067,0.384992,0.320921,56.24,51.33,PROD_000020,COMP_0008,13.14,14.1,2026-03-18 20:07:54,商品_20_2124,3177,145,57.26,1,154,153,167.9,175.58,21
91905,RQ_000,0.1429,0.0108,0.0011,0.0016,0.154332,0.131258,80.85,72.73,PROD_000021,COMP_0002,20.25,20.51,2026-04-09 20:07:54,商品_21_4249,310,4,62.69,0,148,130,157.45,216.35,22
91905,RQ_018,0.1067,0.0317,0.0035,0.0077,0.338239,0.385632,239.35,161.3,PROD_000022,COMP_0004,18.21,16.83,2026-03-12 20:07:54,商品_22_9548,3535,67,177.58,1,376,304,369.99,210.78,23
91905,RQ_019,0.1231,0.0274,0.0148,0.0044,0.337294,0.368464,133.07,190.01,PROD_000023,COMP_0017,8.42,9.01,2026-05-18 20:07:54,商品_23_5526,384,12,154.61,0,313,333,283.5,129.92,24
91905,RQ_000,0.0823,0.0104,0.0076,0.0041,0.085592,0.087481,152.33,97.16,PROD_000024,COMP_0035,7.59,7.55,2026-03-29 20:07:54,商品_24_5118,2315,26,136.78,1,151,190,147.04,84.75,25
91905,RQ_003,0.111,0.0165,0.0224,0.0095,0.18315,0.197081,86.67,82.63,PROD_000025,COMP_0014,6.15,6.44,2026-05-10 20:07:54,商品_25_9042,1323,38,71.47,1,88,92,84.52,79.65,26
91905,RQ_000,0.0904,0.024,0.0135,0.0019,0.21696,0.178027,165.66,114.14,PROD_000026,COMP_0006,28.26,28.13,2026-04-16 20:07:54,商品_26_8253,77,1,153.32,0,292,295,320.84,302.01,27
91905,RQ_018,0.1486,0.016,0.0188,0.0061,0.23776,0.260593,77.82,48.96,PROD_000027,COMP_0019,28.45,26.79,2026-03-23 20:07:54,商品_27_4241,282,2,61.65,0,31,34,31.58,295.99,28
91905,RQ_003,0.0862,0.0327,0.0273,0.0083,0.281874,0.233551,170.59,124.29,PROD_000028,COMP_0027,5.39,5.18,2026-03-01 20:07:54,商品_28_4750,239,11,142.34,0,320,467,320.03,74.48,29
91905,RQ_018,0.1431,0.05,0.0203,0.0028,0.7155,0.583914,184.09,103.32,PROD_000029,COMP_0036,22.81,22.68,2026-04-29 20:07:54,商品_29_1601,4528,442,127.73,1,213,231,205.38,285.15,30
91905,RQ_002,0.054,0.0168,0.0291,0.0041,0.09072,0.09125,121.33,90.51,PROD_000030,COMP_0029,29.65,30.58,2026-03-20 20:07:54,商品_30_3594,4583,110,111.39,1,267,251,269.63,311.14,31
91905,RQ_017,0.0119,0.021,0.0071,0.0084,0.02499,0.021126,77.15,46.47,PROD_000031,COMP_0019,28.44,29.28,2026-04-12 20:07:54,商品_31_6568,3903,143,53.1,1,156,151,157.6,298.71,32
91905,RQ_008,0.1249,0.0149,0.0093,0.0059,0.186101,0.223239,115.4,114.24,PROD_000032,COMP_0032,14.94,13.89,2026-04-07 20:07:54,商品_32_7325,4230,119,110.79,1,296,440,280.54,159.41,33
91905,RQ_015,0.1451,0.0072,0.029,0.0034,0.104472,0.087772,135.05,131.01,PROD_000033,COMP_0009,25.43,23.39,2026-04-21 20:07:54,商品_33_9864,38,0,166.57,0,486,503,504.73,246.27,34
91905,RQ_019,0.0196,0.0319,0.0277,0.01,0.062524,0.068696,176.44,120.83,PROD_000034,COMP_0002,13.3,12.23,2026-04-07 20:07:54,商品_34_4945,737,13,125.06,1,311,312,303.22,132.09,35
91905,RQ_018,0.03,0.0236,0.008,0.0026,0.0708,0.056906,119.87,127.04,PROD_000035,COMP_0031,24.24,26.19,2026-05-18 20:07:54,商品_35_5837,2950,101,131.64,1,205,199,219.16,264.96,36
91905,RQ_012,0.0484,0.0287,0.0207,0.0075,0.138908,0.113851,165.68,195.32,PROD_000036,COMP_0001,18.39,18.38,2026-04-15 20:07:54,商品_36_1546,2294,95,165.62,1,339,432,353.98,199.22,37
91905,RQ_011,0.1125,0.0054,0.0092,0.0075,0.06075,0.052868,205.87,219.31,PROD_000037,COMP_0037,4.4,4.43,2026-05-15 20:07:54,商品_37_7511,131,1,175.72,0,502,741,481.43,45.34,38
91905,RQ_011,0.0226,0.0203,0.0083,0.0013,0.045878,0.043466,108.67,80.43,PROD_000038,COMP_0035,22.6,21.52,2026-03-07 20:07:54,商品_38_1742,241,2,87.15,0,236,281,255.6,223.64,39
91905,RQ_009,0.1494,0.0067,0.0074,0.0054,0.100098,0.095639,158.42,141.52,PROD_000039,COMP_0002,11.44,12.47,2026-03-02 20:07:54,商品_39_7018,453,3,134.47,0,100,114,98.16,133.7,40
91905,RQ_011,0.0185,0.0145,0.0291,0.0095,0.026825,0.030304,186.33,91.97,PROD_000040,COMP_0034,3.2,3.02,2026-05-05 20:07:54,商品_40_1046,2495,71,125.92,1,310,292,330.45,30.56,41
91905,RQ_004,0.1483,0.0275,0.0241,0.0012,0.407825,0.467604,179.72,105.19,PROD_000041,COMP_0017,4.39,4.27,2026-05-13 20:07:54,商品_41_9543,929,17,148.26,1,230,202,209.92,88.98,42
91905,RQ_014,0.1001,0.0025,0.03,0.0085,0.025025,0.024287,137.99,86.23,PROD_000042,COMP_0019,3.68,3.84,2026-03-04 20:07:54,商品_42_4522,33,0,96.53,0,198,239,206.4,40.88,43
91905,RQ_014,0.1343,0.0213,0.0249,0.004,0.286059,0.312332,100.13,75.88,PROD_000043,COMP_0027,9.72,9.36,2026-04-11 20:07:54,商品_43_6793,1049,14,68.23,1,48,52,50.35,129.4,44
91905,RQ_001,0.1456,0.0304,0.0109,0.0058,0.442624,0.391765,64.34,42.56,PROD_000044,COMP_0027,19.87,18.77,2026-03-13 20:07:54,商品_44_5477,2352,122,46.23,1,120,177,127.64,231.17,45
91905,RQ_010,0.0591,0.0099,0.0047,0.0066,0.058509,0.048436,51.26,40.51,PROD_000045,COMP_0019,22.36,24.47,2026-04-15 20:07:54,商品_45_7947,3292,23,43.76,1,55,56,59.86,252.09,46
91905,RQ_019,0.0719,0.0144,0.0228,0.0012,0.103536,0.100633,130.49,74.9,PROD_000046,COMP_0031,8.86,9.18,2026-03-19 20:07:54,商品_46_9196,948,6,0.0,1,129,122,119.64,104.33,47
91905,RQ_011,0.0201,0.0432,0.0017,0.0003,0.086832,0.10146,150.42,110.28,PROD_000047,COMP_0035,25.93,26.32,2026-04-26 20:07:54,商品_47_2288,207,4,116.01,0,152,206,155.59,276.79,48
91905,RQ_009,0.1144,0.0119,0.0235,0.0009,0.136136,0.143391,153.13,186.69,PROD_000048,COMP_0025,16.15,15.16,2026-05-03 20:07:54,商品_48_8354,120,0,146.43,0,166,152,154.48,167.22,49
91905,RQ_019,0.0552,0.0486,0.0098,0.0045,0.268272,0.264937,124.21,88.38,PROD_000049,COMP_0036,19.13,20.26,2026-02-23 20:07:54,商品_49_8368,4202,113,118.71,1,168,168,172.86,227.94,50
91905,RQ_006,0.055,0.0243,0.005,0.0007,0.13365,0.112453,158.16,110.2,PROD_000050,COMP_0036,27.02,26.17,2026-05-11 20:07:54,商品_50_6482,362,10,137.15,0,219,255,204.05,271.33,51
91905,RQ_010,0.0232,0.0342,0.0089,0.0073,0.079344,0.084313,96.63,62.79,PROD_000051,COMP_0004,27.24,29.27,2026-05-16 20:07:54,商品_51_9624,3041,202,80.0,1,179,192,182.4,304.05,52
91905,RQ_013,0.0812,0.0019,0.0096,0.0095,0.015428,0.014451,163.52,157.95,PROD_000052,COMP_0005,23.1,21.68,2026-05-08 20:07:54,商品_52_3712,259,0,180.0,0,465,659,422.01,217.01,53
91905,RQ_001,0.0675,0.0341,0.0075,0.0045,0.230175,0.210373,111.93,130.49,PROD_000053,COMP_0028,22.58,22.35,2026-03-07 20:07:54,商品_53_5096,2089,74,110.1,1,315,469,312.59,249.2,54
91905,RQ_015,0.1324,0.0282,0.0035,0.0085,0.373368,0.425814,101.68,55.91,PROD_000054,COMP_0003,8.91,9.38,2026-02-21 20:07:54,商品_54_6221,1251,67,70.92,1,74,0,71.77,133.74,55
91905,RQ_010,0.1208,0.0077,0.009,0.0083,0.093016,0.100311,78.19,72.73,PROD_000055,COMP_0006,4.59,4.78,2026-04-17 20:07:54,商品_55_2029,2266,30,97.29,1,182,238,183.01,53.31,56
91905,RQ_015,0.0935,0.0018,0.0157,0.0025,0.01683,0.014431,72.13,72.6,PROD_000056,COMP_0007,13.16,13.46,2026-03-22 20:07:54,商品_56_1266,268,0,66.08,0,44,51,44.06,135.74,57
91905,RQ_002,0.0583,0.0369,0.019,0.0077,0.215127,0.235365,153.24,90.09,PROD_000057,COMP_0022,10.31,9.37,2026-04-24 20:07:54,商品_57_7524,4420,236,111.9,1,282,238,297.58,114.23,58
91905,RQ_015,0.0455,0.0379,0.0061,0.0036,0.172445,0.191817,51.47,60.04,PROD_000058,COMP_0034,26.04,25.16,2026-03-13 20:07:54,商品_58_9937,3667,140,48.67,1,47,60,45.75,270.03,59
91905,RQ_010,0.0244,0.0171,0.0092,0.0045,0.041724,0.045357,127.04,121.04,PROD_000059,COMP_0018,5.42,5.36,2026-05-15 20:07:54,商品_59_8179,2749,68,97.07,1,240,201,248.22,54.74,60
91905,RQ_004,0.0194,0.0391,0.0113,0.0039,0.075854,0.077894,182.73,199.52,PROD_000060,COMP_0002,18.35,19.01,2026-04-16 20:07:54,商品_60_4515,271,11,172.32,0,221,0,241.35,202.02,61
91905,RQ_009,0.1072,0.0499,0.0064,0.0014,0.534928,0.443787,245.56,229.97,PROD_000061,COMP_0039,5.59,5.83,2026-03-15 20:07:54,商品_61_3275,3346,261,179.59,1,336,337,322.56,99.42,62
91905,RQ_015,0.0137,0.0281,0.0114,0.0081,0.038497,0.039292,114.56,86.42,PROD_000062,COMP_0015,18.55,17.01,2026-03-13 20:07:54,商品_62_3114,3854,187,76.39,1,52,76,53.48,177.81,63
91905,RQ_016,0.1375,0.0037,0.0042,0.0016,0.050875,0.044051,119.46,101.31,PROD_000063,COMP_0027,10.02,10.44,2026-05-08 20:07:54,商品_63_6531,128,0,81.9,0,236,234,241.9,109.72,64
91905,RQ_001,0.1255,0.0024,0.0018,0.0065,0.03012,0.031045,115.36,92.38,PROD_000064,COMP_0036,19.71,20.76,2026-03-30 20:07:54,商品_64_6231,2974,8,92.49,1,232,296,222.6,210.55,65
91905,RQ_012,0.0283,0.0192,0.0171,0.0033,0.054336,0.053607,44.66,41.43,PROD_000065,COMP_0022,8.39,7.97,2026-04-22 20:07:54,商品_65_1379,2533,94,44.52,1,122,167,132.58,90.02,66
91905,RQ_012,0.0808,0.0484,0.0068,0.0036,0.391072,0.320764,144.72,130.96,PROD_000066,COMP_0005,15.1,16.25,2026-04-16 20:07:54,商品_66_5582,220,7,128.14,0,148,156,145.14,193.2,67
91905,RQ_019,0.0266,0.0488,0.0121,0.008,0.129808,0.121453,69.22,59.86,PROD_000067,COMP_0039,28.2,29.64,2026-03-28 20:07:54,商品_67_6511,19,0,59.86,0,79,89,78.32,309.68,68
91905,RQ_016,0.0845,0.0357,0.0093,0.0082,0.301665,0.28578,159.61,133.45,PROD_000068,COMP_0032,20.38,22.34,2026-04-07 20:07:54,商品_68_3421,305,13,117.56,0,343,462,361.94,248.68,69
91905,RQ_001,0.0902,0.0353,0.0061,0.0045,0.318406,0.308062,129.28,103.48,PROD_000069,COMP_0015,12.68,11.93,2026-05-16 20:07:54,商品_69_5331,361,9,105.27,0,107,109,110.47,154.23,70
91905,RQ_015,0.0369,0.0131,0.017,0.0023,0.048339,0.057483,79.02,54.38,PROD_000070,COMP_0039,9.28,8.89,2026-02-28 20:07:54,商品_70_6674,2740,33,61.09,1,118,139,127.34,91.11,71
91905,RQ_008,0.1146,0.0115,0.0249,0.0028,0.13179,0.135059,136.54,103.09,PROD_000071,COMP_0028,8.51,7.84,2026-04-19 20:07:54,商品_71_8822,326,3,141.13,0,105,108,104.42,96.69,72
91905,RQ_009,0.055,0.0326,0.0273,0.001,0.1793,0.184617,245.39,137.26,PROD_000072,COMP_0012,16.29,17.02,2026-04-01 20:07:54,商品_72_5662,478,29,170.5,0,510,549,509.53,-22.17,73
91905,RQ_017,0.0834,0.0446,0.0045,0.0051,0.371964,0.338165,175.12,157.99,PROD_000073,COMP_0029,24.36,23.54,2026-03-02 20:07:54,商品_73_4027,377,16,139.67,0,172,218,161.44,268.49,74
91905,RQ_015,0.0553,0.0132,0.0082,0.0024,0.072996,0.080405,111.85,151.19,PROD_000074,COMP_0008,28.64,27.51,2026-04-06 20:07:54,商品_74_4618,31,0,138.43,0,230,209,238.56,285.04,75
91905,RQ_004,0.0769,0.0233,0.0297,0.0038,0.179177,0.19365,207.1,173.91,PROD_000075,COMP_0014,27.43,28.84,2026-04-25 20:07:54,商品_75_8239,269,7,150.3,0,339,289,343.35,308.49,76
91905,RQ_006,0.1104,0.025,0.027,0.0045,0.276,0.226942,136.49,126.47,PROD_000076,COMP_0007,4.39,4.32,2026-04-19 20:07:54,商品_76_1519,678,18,114.59,1,291,384,295.56,70.84,77
91905,RQ_013,0.0352,0.0076,0.0194,0.0073,0.026752,0.031715,140.28,90.13,PROD_000077,COMP_0018,11.55,12.45,2026-02-20 20:07:54,商品_77_5888,349,5,97.28,0,261,233,279.81,123.94,78
91905,RQ_017,0.0694,0.0196,0.0073,0.0047,0.136024,0.117259,119.12,158.74,PROD_000078,COMP_0029,6.06,6.51,2026-02-25 20:07:54,商品_78_3295,123,1,144.82,0,108,88,110.11,75.85,79
91905,RQ_009,0.0428,0.0459,0.0175,0.0058,0.196452,0.217868,240.54,163.5,PROD_000079,COMP_0032,24.64,23.34,2026-04-07 20:07:54,商品_79_9592,2961,124,161.44,1,305,370,319.35,250.66,80
91905,RQ_013,0.0672,0.0157,0.0059,0.0054,0.105504,0.094572,58.06,37.94,PROD_000080,COMP_0020,7.15,7.66,2026-03-24 20:07:54,商品_80_7179,3912,82,51.65,1,43,41,40.45,81.98,81
91905,RQ_019,0.0155,0.0046,0.0242,0.0059,0.00713,0.007619,168.08,206.8,PROD_000081,COMP_0038,6.9,6.5,2026-03-26 20:07:54,商品_81_7236,479,1,166.05,0,390,515,409.84,64.73,82
91905,RQ_017,0.1008,0.0161,0.0111,0.0088,0.162288,0.160081,147.73,118.55,PROD_000082,COMP_0029,24.18,25.26,2026-05-01 20:07:54,商品_82_5026,3890,35,144.24,1,383,505,345.94,266.56,83
91905,RQ_017,0.1016,0.0346,0.0081,0.0082,0.351536,0.417134,74.93,44.28,PROD_000083,COMP_0031,19.43,19.39,2026-05-09 20:07:54,商品_83_4791,2007,130,55.24,1,102,127,93.0,237.3,84
91905,RQ_004,0.0113,0.0258,0.0115,0.0062,0.029154,0.031099,83.02,106.38,PROD_000084,COMP_0004,18.69,18.63,2026-03-09 20:07:54,商品_84_4948,8,0,103.18,0,122,181,110.22,193.51,85
91905,RQ_019,0.0837,0.0409,0.0084,0.004,0.342333,0.32495,171.05,198.24,PROD_000085,COMP_0012,12.48,12.64,2026-05-11 20:07:54,商品_85_6427,334,27,178.53,0,379,311,371.82,160.92,86
91905,RQ_003,0.1353,0.046,0.0073,0.009,0.62238,0.67025,215.68,146.4,PROD_000086,COMP_0036,17.22,16.43,2026-04-08 20:07:54,商品_86_9856,91,7,168.62,0,216,318,219.76,227.09,87
91905,RQ_012,0.1158,0.0079,0.0297,0.0073,0.091482,0.091511,132.55,86.42,PROD_000087,COMP_0021,29.24,26.63,2026-05-08 20:07:54,商品_87_5839,3173,13,95.56,1,113,168,112.79,277.25,88
91905,RQ_002,0.0215,0.0086,0.0215,0.0064,0.01849,0.020262,31.27,28.19,PROD_000088,COMP_0015,9.84,9.07,2026-04-08 20:07:54,商品_88_1202,1337,8,30.78,1,29,32,29.32,88.66,89
91905,RQ_013,0.0643,0.0052,0.0271,0.0091,0.033436,0.039831,78.15,76.72,PROD_000089,COMP_0018,17.37,16.22,2026-03-03 20:07:54,商品_89_3219,1695,5,87.11,1,138,151,137.56,167.43,90
91905,RQ_000,0.1428,0.0173,0.0188,0.0081,0.247044,0.2302,235.53,124.23,PROD_000090,COMP_0019,10.37,11.02,2026-04-09 20:07:54,商品_90_6980,2145,45,158.93,1,150,161,144.57,136.04,91
91905,RQ_018,0.038,0.0499,0.0058,0.0077,0.18962,0.153738,83.47,73.66,PROD_000091,COMP_0007,21.95,23.89,2026-05-05 20:07:54,商品_91_8851,419,37,61.45,0,152,193,141.03,253.51,92
91905,RQ_012,0.0848,0.0463,0.0262,0.0042,0.392624,0.319873,184.59,189.59,PROD_000092,COMP_0037,29.07,30.24,2026-03-03 20:07:54,商品_92_1172,393,15,151.84,0,328,300,335.39,339.06,93
91905,RQ_008,0.0411,0.0376,0.017,0.0069,0.154536,0.137292,169.31,104.28,PROD_000093,COMP_0006,11.54,11.45,2026-04-19 20:07:54,商品_93_2599,247,6,131.93,0,203,299,187.41,127.78,94
91905,RQ_014,0.0546,0.0157,0.0244,0.0012,0.085722,0.097695,81.36,46.25,PROD_000094,COMP_0028,19.62,20.32,2026-03-15 20:07:54,商品_94_8365,282,3,54.65,0,103,151,97.48,212.29,95
91905,RQ_013,0.0644,0.0355,0.0066,0.0075,0.22862,0.256853,149.68,144.01,PROD_000095,COMP_0037,2.35,2.16,2026-05-15 20:07:54,商品_95_5873,1433,45,160.8,1,427,499,438.88,45.76,96
91905,RQ_018,0.0219,0.0076,0.004,0.0031,0.016644,0.014534,83.14,86.27,PROD_000096,COMP_0039,20.96,21.01,2026-04-04 20:07:54,商品_96_1157,249,2,92.74,0,207,259,227.7,209.7,97
91905,RQ_004,0.0373,0.0198,0.0171,0.0066,0.073854,0.07117,88.57,100.37,PROD_000097,COMP_0031,15.01,15.64,2026-04-28 20:07:54,商品_97_7010,149,1,96.58,0,102,102,107.73,163.63,98
91905,RQ_001,0.1164,0.0226,0.0069,0.0043,0.263064,0.287896,132.61,138.28,PROD_000098,COMP_0034,19.78,18.78,2026-03-16 20:07:54,商品_98_4390,224,9,161.22,0,127,173,119.63,217.69,99
91905,RQ_018,0.0591,0.0148,0.0164,0.0033,0.087468,0.094607,236.44,175.77,PROD_000099,COMP_0003,9.04,8.62,2026-05-15 20:07:54,商品_99_7434,69,1,158.7,0,391,564,429.51,93.16,100
91905,RQ_004,0.0908,0.0142,0.0127,0.0046,0.128936,0.135828,106.78,135.44,PROD_000100,COMP_0031,26.46,24.31,2026-04-27 20:07:54,商品_100_7516,4224,115,107.34,1,141,113,148.73,258.32,101
91905,RQ_013,0.1255,0.0252,0.01,0.0029,0.31626,0.322245,211.39,171.58,PROD_000101,COMP_0013,4.35,4.66,2026-05-12 20:07:54,商品_101_5945,50,1,148.25,0,384,311,416.98,78.1,102
91905,RQ_008,0.0231,0.0187,0.0029,0.0067,0.043197,0.04577,184.55,133.0,PROD_000102,COMP_0010,2.03,2.08,2026-05-17 20:07:54,商品_102_3165,360,4,0.0,0,143,122,145.68,23.81,103
91905,RQ_002,0.0421,0.0054,0.0243,0.0011,0.022734,0.02153,214.66,164.92,PROD_000103,COMP_0030,9.33,9.11,2026-03-01 20:07:54,商品_103_2646,35,0,152.01,0,79,99,78.05,92.37,104
91905,RQ_003,0.0925,0.0198,0.0289,0.0032,0.18315,0.156764,137.87,120.31,PROD_000104,COMP_0008,8.67,7.95,2026-04-08 20:07:54,商品_104_2847,434,15,113.01,0,303,285,309.48,98.01,105
91905,RQ_015,0.0993,0.0045,0.0267,0.0002,0.044685,0.042202,170.59,160.18,PROD_000105,COMP_0015,9.84,9.62,2026-04-23 20:07:54,商品_105_7806,390,2,155.85,0,462,0,470.07,104.91,106
91905,RQ_012,0.0215,0.0273,0.0187,0.0028,0.058695,0.054232,177.74,141.3,PROD_000106,COMP_0027,15.58,14.66,2026-03-12 20:07:54,商品_106_2956,158,6,151.21,0,351,488,319.96,153.11,107
91905,RQ_004,0.1082,0.009,0.0286,0.0053,0.09738,0.108403,66.05,42.24,PROD_000107,COMP_0000,21.76,20.31,2026-05-01 20:07:54,商品_107_3734,394,6,49.04,0,65,71,65.31,213.9,108
91905,RQ_005,0.0457,0.006,0.0174,0.0073,0.02742,0.024441,154.85,156.74,PROD_000108,COMP_0023,15.51,14.1,2026-02-27 20:07:54,商品_108_7108,1729,7,159.44,1,462,381,490.01,140.93,109
91905,RQ_016,0.1043,0.0036,0.0071,0.0052,0.037548,0.030728,214.5,141.74,PROD_000109,COMP_0007,12.33,13.26,2026-04-28 20:07:54,商品_109_5016,283,1,159.9,0,227,227,239.92,140.39,110
91905,RQ_000,0.1405,0.0022,0.0165,0.0064,0.03091,0.033302,152.96,164.39,PROD_000110,COMP_0009,0.78,0.75,2026-04-11 20:07:54,商品_110_7102,1351,2,143.84,1,425,464,464.2,6.27,111
91905,RQ_002,0.0913,0.0258,0.0193,0.004,0.235554,0.244213,49.82,60.06,PROD_000111,COMP_0029,2.34,2.42,2026-04-27 20:07:54,商品_111_6870,3172,79,49.61,1,58,49,54.55,45.27,112
91905,RQ_014,0.0532,0.014,0.004,0.0017,0.07448,0.080023,49.93,32.33,PROD_000112,COMP_0013,24.88,25.86,2026-03-21 20:07:54,商品_112_2551,364,4,36.05,0,50,57,51.77,265.65,113
91905,RQ_003,0.1225,0.0078,0.0009,0.0083,0.09555,0.113994,106.55,93.29,PROD_000113,COMP_0029,4.36,4.64,2026-03-11 20:07:54,商品_113_8096,1114,4,85.84,1,56,80,55.37,56.11,114
91905,RQ_015,0.0141,0.0345,0.0056,0.0022,0.048645,0.042558,43.42,29.83,PROD_000114,COMP_0025,8.76,9.43,2026-02-20 20:07:54,商品_114_7266,4586,176,35.2,1,66,55,63.09,98.81,115
91905,RQ_015,0.0862,0.0247,0.0274,0.0051,0.212914,0.203408,89.69,73.35,PROD_000115,COMP_0022,5.8,5.59,2026-02-25 20:07:54,商品_115_4594,414,20,62.85,0,114,152,125.39,73.91,116
91905,RQ_012,0.0597,0.0421,0.0254,0.0018,0.251337,0.260638,136.98,187.21,PROD_000116,COMP_0036,24.28,25.24,2026-04-20 20:07:54,商品_116_1011,288,23,167.1,0,433,592,473.74,274.03,117
91905,RQ_019,0.0382,0.0074,0.0216,0.0092,0.028268,0.032161,170.15,137.41,PROD_000117,COMP_0021,10.05,9.09,2026-05-12 20:07:54,商品_117_6198,1094,8,117.99,1,336,361,309.19,98.6,118
